Id,AuthorName,LikeCount,Date Published,Comment Text,Label
,,,,,
Ugw06fLBWodKbbPeUqR4AaABAg,Enklaev,1,2023-06-13T07:02:51Z,Bring us victory for all europeans,Non Hateful
,,,,,
UgynrvFr4USb4WY6TTN4AaABAg,bryan colvig,1,2023-06-09T05:40:10Z,"Is Ireland having a low birthrate problem?? So they are welcoming immigrants from everywhere. These migrants dont come to Ireland to become an Irish citizen, they just want free stuff and want to take over neighborhoods that were Irish for thousands of years. Is England the problem with its immigration policies?? England has always tried to force its will von Ireland. Countries in Europe need to come together and form a new country with closed borders, including a fuel abundant nation. Purge out all the migrants that don't picth in, including violent prisoners from outside countries. I some small protests happening that the media calls white supremacists. Being a proud iresh person is called a racist. Here in the states your name a white supremacist for hanging the nations flag on your property, celebrateing the 4th of July, going to church and believing in God. Oh lets not forget being a white male , makes you a bigot, oh wait our president is a white male, the Hippocracy is maddening",Hateful
,,,,,
Ugz5uxyuCWprHc9CrxN4AaABAg,Michael Dillon,0,2023-06-06T06:11:32Z,It is always the working class people who have to be the ragged trousered philanthropists . Working class people have to pay the price of the policies of the met elite who can always buy themselves out of trouble .  Strangely none of this is reported in the MSM in the UK .,Hateful
,,,,,
UgxOKkXoO3W3CZ58RU54AaABAg,Josh Oconnor,0,2023-06-05T00:59:29Z,"Don't let them in, they will ruin your country, your city. Do not be fooled or shamed by people calling you racist, you are not. There is nothing racist about not wanting your country to be destroyed especially as your country has endured through so much. It's worth keeping. There is literally not ONE SINGLE PLACE that has had this recent ""immigration""  forced upon them has has benefited by ANY metric. They will come if you don't fight it, and they will make your country unrecognizable in no time. The people who are for this ONLY realize how naive they've been when it's too late. Dont fall for it.",Hateful
,,,,,
UgwX47VWaBpu0_nA18Z4AaABAg,murph,0,2023-06-04T02:18:50Z,Ireland for the Irish. F globalism,Hateful
,,,,,
UgzJK6kYT_VOi8VsXL94AaABAg,Maureen Barclay,0,2023-06-02T11:08:31Z,Respect for the irish.  I wish the British would also protest,Hateful
,,,,,
Ugxr0FI9ON6JUV-UIM14AaABAg,Valhalla,0,2023-05-30T17:42:11Z,"I wonder how many people Know that Ireland for the last few years is the only country in the world offering foreign students from any and every country the chance to come and study in Ireland and once they finish If they remain and work for 2 years they will be given Irish citizenship but if you check this there are thousands who said they came to Ireland dropped out of college after 2 years and were still given their citizenship then couple this with the rights they then have as Irish citizens to repatriate their family’s to Ireland and you will see the problem crystal clear.
What this basically means is that the population of Ireland is deemed to low by our owners in Brussels so we need to probably double our population in anyway we can.
If mass immigration bothers you you need to get over it asap because by 2030 Ireland will look and feel nothing like it has done for the past 1000 years and we need to find a way to make it work people because the folks behind this population rise are doing it for a more sinister end.
Their problem with my country is it’s to white and just like Peter Sutherland the deceased ex CEO of G Sachs said “the entire white race needs to be enslaved”",Hateful
,,,,,
Ugw443NfBqP2mtBy6TF4AaABAg,El Guapo,0,2023-05-28T11:02:08Z,"Imagine being one of the few Western European countries that didn't colonize or wage war over third world countries, but still forced to accept immigrations from there. Double L for Ireland",Hateful
,,,,,
Ugww8JaXxlrl6kHuZyF4AaABAg,Murshad Chowdhury,1,2023-05-24T22:20:18Z,Every night out clubbing and having a laugh should be a night of protest.,Hateful
,,,,,
UgwjALRcOMkLotoVAOd4AaABAg,KolyaNick,1,2023-05-22T12:19:44Z,There's no equivalence with irish migration. They never turned up uninvited,Hateful
,,,,,
UgxW7ty_cgL_UdNpau94AaABAg,Patricia Drury,0,2023-05-22T07:45:20Z,Respect for ireland,Non Hateful
,,,,,
UgwXnAvJg8G6Mx_W8354AaABAg,The Covid Prisoner,1,2023-05-21T22:23:00Z,"Well done Ireland ,  you have the back ground should it escalate.  
If only Britain could show enough similar backbone but apathy and fear is the real virus and always was.",Hateful
,,,,,
UgyK3hJTqYqvY-iWmS94AaABAg,Oj simps,0,2023-05-21T15:04:07Z,Get em out of native Australia and America haha that's a real situation of immigrants taking over a continent,Hateful
,,,,,
UgwT3vQGOsVdcQXDo1B4AaABAg,Mariska Barsi,2,2023-05-21T05:47:42Z,"Politicians pimp out the women of European and western countries, as a way to lure more third world migrants. It's absolutely disgusting and every woman should be outraged at how their govts are willing to endanger their lives and use them as a commodity, to bargain with. The fact that a lot of these politicians have daughters, sisters and mothers of their own, makes it even worse. It's absolutely disgusting how men are so keen to get other men laid, at the expense of even their families...",Hateful
,,,,,
UgzVUSrYE1oPjn16-Fl4AaABAg,PeterJM,0,2023-05-20T20:29:14Z,I wonder how many of these inner city protesters live of government handouts?,Non Hateful
,,,,,
UgzZ9WKjDV_67Lt9pzR4AaABAg,John Tynan,1,2023-05-20T16:01:20Z,varadkars an arab he hates irish people😢,Hateful
,,,,,
UgyvBdhgTjPDWNeEpBt4AaABAg,J G,0,2023-05-19T15:13:10Z,"Irish people need to unite as one. Joint up protests, joined up political and individuak targeting of those who are promoting and supporting these policies. Get them out of office whether they are a Councillor or MP, or even companies.",Hateful
,,,,,
UgxZiwoCc5laKgL8bHV4AaABAg,Alastair Law,0,2023-05-18T10:25:12Z,Send all racists irish or british to ruanda they forever sound thick when they open the mouth that the Lord gave them,Non Hateful
,,,,,
UgyQnLpCvBdCO_F8iBl4AaABAg,Craig Pimlott,2,2023-05-17T20:12:40Z,"We’ve had our problems in the past but the British people ,not them toe rags in power ,(cos they don’t give a F### about us either ),the British people are with you Ireland .never surrender.❤❤❤",Hateful
,,,,,
UgyQnLpCvBdCO_F8iBl4AaABAg.9ppN5NsW7bv9qJd-B5eoIg,Jeff Prentis,0,2023-05-29T23:36:49Z,My ❤bloody well bleeds for the Irish people,Hateful
,,,,,
Ugxk_cGMwWWhCeGrIYV4AaABAg,Peter Conner,1,2023-05-17T14:09:33Z,"""I Hear You're A Racist Now, Father! - Father Ted""",Non Hateful
,,,,,
